,Text,Predicted
81,"0,Great for the jawbone.,
",1
82,"1,""Looks good in the picture, but this case was a huge disappointment!!"",
",0
83,"2,I can't use this case because the smell is disgusting.,
",0
84,"3,Terrible.. My car will not accept this cassette.,
",1
85,"4,They work about 2 weeks then break.,
",0
86,"5,lightweight and works well.,
",1
87,"6,I am going to have to be the first to negatively review this product.,
",0
88,"7,i would advise to not purchase this item it never worked very well.,
",1
89,"8,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,
",1
90,"9,This frog phone charm is adorable and very eye catching.,
",1
91,"0,""I might have gotten a defect, but I would not risk buying it again because of the built quality alone."",
",0
92,"1,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,
",1
93,"2,This is a great deal.,
",1
94,"3,One of my favorite purchases ever.,
",0
95,"4,Terrible phone holder.,
",1
96,"5,You have to hold the phone at a particular angle for the other party to hear you clearly.,
",1
97,"6,Excellent product.,
",1
98,"7,I have yet to run this new battery below two bars and that's three days without charging.,
",1
99,"8,""For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does."",
",0
100,"9,I have always used corded headsets and the freedom from the wireless is very helpful.,
",0
101,"100,Can't upload ringtones from a third party.,
",1
102,"101,""I went on Motorola's website and followed all directions, but could not get it to pair again."",
",0
103,"102,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,
",1
104,"103,""horrible, had to switch 3 times."",
",0
105,"104,You get what you pay for I guess.,
",0
106,"105,""Saggy, floppy piece of junk."",
",0
107,"106,Don't waste your money!.,
",0
108,"107,Great Hands Free Device.,
",0
109,"108,Superb Phone on a Great Network.,
",1
110,"109,you could only take 2 videos at a time and the quality was very poor.,
",0
111,"110,(It works!),
",1
112,"111,the charger worked for about a week and then completely stopped charging my phone.,
",0
113,"112,I'm happy about this purchase- good quality and low price.,
",1
114,"113,the phone was unusable and was not new.,
",1
115,"114,WELL IM SATISFIED.,
",0
116,"115,Works for me.,
",1
117,"116,The nokia CA-42 USB cable did not work with my phone.,
",1
118,"117,Very pleased with this headset.,
",1
119,"118,Good Quality.,
",0
120,"119,Not loud enough and doesn't turn on like it should.,
",1
121,"120,T-Mobile has the best customer service anywhere.,
",1
122,"121,I'm really disappointed all I have now is a charger that doesn't work.,
",0
123,"122,Also difficult to put on.I'd recommend avoiding this product.,
",1
124,"123,Excellent starter wireless headset.,
",1
125,"124,I am very happy,
",1
126,"125,Worst software ever used.... If I could give this zero stars I would.,
",0
127,"126,All three broke within two months of use.,
",0
128,"127,""Not only will it drain your player, but may also potentially fry it."",
",0
129,"128,""All in all, I'd expected a better consumer experience from Motorola."",
",0
130,"129,Thanks again to Amazon for having the things I need for a good price!,
",1
131,"130,""It didn't work, people can not hear me when I talk."",
",0
132,"131,Excellent Phone.,
",1
133,"132,Poor Construction.,
",1
134,"133,""Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch."",
",0
135,"134,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,
",0
136,"135,I have had mine for about a year and this Christmas I bought some for the rest of the family.,
",1
137,"136,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,
",0
138,"137,Great Phone.,
",1
139,"138,""The microphone also works well, but (according to people I have called) it applifies everything."",
",1
140,"139,Would recommend this item.,
",1
141,"140,I gave it 5 stars because of the sound quality.,
",0
142,"141,Essentially you can forget Microsoft's tech support.,
",0
143,"142,It worked very well.,
",0
144,"143,I wasted my little money with this earpiece.,
",0
145,"144,Plantronics Bluetooth Excelent Buy.,
",1
146,"145,""Then I exchanged for the same phone, even that had the same problem."",
",1
147,"146,""This was utterly confusing at first, which caused me to lose a couple of very, very important contacts."",
",1
148,"147,The replacement died in a few weeks.,
",0
149,"148,Display is excellent and camera is as good as any from that year.,
",1
150,"149,2 thumbs up to this seller,
",1
151,"150,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,
",1
152,"151,Incredible!.,
",1
153,"152,Product was excellent and works better than the verizon one and Boy was it cheaper!,
",1
154,"153,It definitely was not as good as my S11.,
",1
155,"154,Very satisifed with that.,
",1
156,"155,The worst piece of crap ever along with the Verizon customer service.,
",0
157,"156,disappointed.,
",1
158,"157,The only thing that I think could improve is the sound leaks out from the headset.,
",0
159,"158,""What possesed me to get this junk, I have no idea..."",
",0
160,"159,Works great!.,
",1
161,"160,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,
",0
162,"161,You'll love how thin it is.,
",1
163,"162,The first thing that happened was that the tracking was off.,
",1
164,"163,The case is great and works fine with the 680.,
",1
165,"164,It was quite comfortable in the ear.,
",0
166,"165,""Provides good protection and looks classy, too."",
",1
167,"166,""It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days."",
",1
168,"167,Problem is that the ear loops are made of weak material and break easily.,
",0
169,"168,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,
",0
170,"169,I have to jiggle the plug to get it to line up right to get decent volume.,
",0
171,"170,I am not impressed with this and i would not recommend this item to anyone.,
",1
172,"171,""Great price, too!"",
",1
173,"172,Razr Battery - Good buy.,
",1
174,"173,My headset works just peachy-keen.,
",1
175,"174,""I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source."",
",1
176,"175,Keep up the good work Amazon!!,
",1
177,"176,It is unusable in a moving car at freeway speed.,
",1
178,"177,Sending it back.,
",1
179,"178,""This is a good battery, and it got here really fast."",
",1
180,"179,""every thing on phone work perfectly, she like it."",
",1
181,"180,""This item is great, installed it, let it charged up overnite and it has been working good every since with no problems"",
",0
182,"181,Could not get strong enough signal.,
",1
183,"182,Don't make the same mistake I did.,
",1
184,"183,Great product and price.,
",1
185,"184,We have gotten a lot of compliments on it.,
",0
186,"185,Freezes frequently4.,
",1
187,"186,""It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!"",
",0
188,"187,""However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls."",
",0
189,"188,Great Value.,
",0
190,"189,""Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3."",
",1
191,"190,""Horrible, horrible protector."",
",0
192,"191,Same problem as others have mentioned.,
",1
193,"192,""Obviously they have a terrible customer service, so you get what you pay for."",
",0
194,"193,""It's fits like a glove and is strong, secure, and durable."",
",1
195,"194,Not impressed.,
",1
196,"195,""however, my girl was complain that some time the phone doesn't wake up like normal phone does."",
",1
197,"196,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,
",1
198,"197,""I have this phone and it is a thorn in my side, I really abhor it."",
",1
199,"198,Works well.,
",1
200,"199,""I didn't want the clip going over the top of my ear, causing discomfort."",
",1
201,"200,""If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing."",
",0
202,"201,The shipping time was also very quick!,
",1
203,"202,Really pleased with this product so far.,
",1
204,"203,Headset works great & was packaged nicely to avoid any damage.,
",1
205,"204,The iGo chargers and tips are really great.,
",1
206,"205,Don't trust their website and don't expect any helpful support.,
",1
207,"206,Great for iPODs too.,
",1
208,"207,""The look of it is very sharp and the screen is nice and clear, with great graphics."",
",1
209,"208,""None of it works, just don't buy it."",
",1
210,"209,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,
",1
211,"210,awesome device.,
",1
212,"211,Buyer--Be Very Careful!!!!!.,
",1
213,"212,Great product for the price!.,
",1
214,"213,These products cover up the important light sensor above the ear outlet.,
",1
215,"214,Mobile Phone Tools are a must have.,
",1
216,"215,It's not what it says it is.,
",1
217,"216,im surprised this is a good quality car charger and there's not much reviews about it.,
",0
218,"217,Very Displeased.,
",1
219,"218,I purcashed this for the car charger and it does not work.,
",1
220,"219,""It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time."",
",1
221,"220,Worst customer service.,
",1
222,"221,Thank you for such great service.,
",1
223,"222,""Five star Plus, plus."",
",1
224,"223,After receiving and using the product for just 2 days it broke.,
",1
225,"224,""I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions."",
",0
226,"225,The buttons for on and off are bad.,
",0
227,"226,The instruction manual is lacking.,
",1
228,"227,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,
",1
229,"228,It's pretty easy.,
",1
230,"229,So Far So Good!.,
",1
231,"230,Obviously there is a problem with the adhesive.,
",0
232,"231,""I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!"",
",1
233,"232,I love this cable - it allows me to connect any mini-USB device to my PC.,
",1
234,"233,""This item worked great, but it broke after 6 months of use."",
",0
235,"234,""It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out."",
",0
236,"235,I wouldn't recommend buying this product.,
",1
237,"236,I was not impressed by this product.,
",1
238,"237,Great audio!.,
",0
239,"238,This is a beautiful phone.,
",1
240,"239,""The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution."",
",1
241,"240,""Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with."",
",1
242,"241,This product is ideal for people like me whose ears are very sensitive.,
",1
243,"242,Good audio quality.,
",0
244,"243,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,
",0
245,"244,""The color is even prettier than I thought it would be, and the graphics are incredibly sharp."",
",0
246,"245,Very good quality though,
",0
247,"246,""However, the ear pads come off easily and after only one week I lost one."",
",1
248,"247,Does not work for listening to music with the cingular 8125.,
",0
249,"248,""I really recommend this faceplates since it looks very nice, elegant and cool."",
",1
250,"249,The pleather case doesn't fit.,
",0
251,"250,AMAZON SUCKS.,
",0
252,"251,""I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit."",
",1
253,"252,If you are Razr owner...you must have this!,
",1
254,"253,It's a great item.,
",1
255,"254,Sprint charges for this service.,
",1
256,"255,Not a good bargain.,
",1
257,"256,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,
",0
258,"257,Talk about USELESS customer service.,
",1
259,"258,This one works and was priced right.,
",1
260,"259,This phone might well be the worst I've ever had in any brand.,
",0
261,"260,""It is cheap, and it feel and look just as cheap."",
",0
262,"261,i got this phone around the end of may and i'm completely unhappy with it.,
",1
263,"262,This is the first phone I've had that has been so cheaply made.,
",1
264,"263,Low Quality.,
",0
265,"264,This is definitely a must have if your state does not allow cell phone usage while driving.,
",1
266,"265,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,
",0
267,"266,That company is a joke.,
",1
268,"267,""I only used it two days, and it wasn't always easy to hear with."",
",0
269,"268,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,
",1
270,"269,Excellent bluetooth headset.,
",1
271,"270,Buy a different phone - but not this.,
",1
272,"271,""useless phone, simply deaf."",
",1
273,"272,I wear glasses and it fits fine with them.,
",1
274,"273,The only thing that disappoint me is the infra red port (irda).,
",0
275,"274,""When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides."",
",1
276,"275,""Great product, fast shipping!."",
",1
277,"276,The headset fulfills my requirements so I am happy with my purchase.,
",1
278,"277,""However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up."",
",0
279,"278,This battery is an excellent bargain!,
",1
280,"279,I want my money back.,
",1
281,"280,What a waste of money and time!.,
",0
282,"281,The volume for the ringer is REAL good (you have choices how loud).,
",1
283,"282,""Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen."",
",1
284,"283,""Audio Quality is poor, very poor."",
",0
285,"284,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,
",0
286,"285,""I love this phone , It is very handy and has a lot of features ."",
",1
287,"286,The reception through this headset is excellent.,
",1
288,"287,Gets the job done.,
",1
289,"288,""No ear loop needed, it's tiny and the sound is great."",
",1
290,"289,Excellent hands free tool.,
",0
291,"290,The battery runs down quickly.,
",1
292,"291,Bad Purchase.,
",1
293,"292,I highly recommend this device to everyone!,
",1
294,"293,For the price this was a great deal.,
",1
295,"294,Doesn't Work.,
",0
296,"295,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,
",1
297,"296,""It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not."",
",1
298,"297,""It was an inexpensive piece, but I would still have expected better quality."",
",0
299,"298,""I have purchased these for both family and friends, and all enjoy their clarity and ease of use"",
",1
300,"299,Yet Plantronincs continues to use the same flawed charger design.,
",0
301,"300,Appears to actually outperform the original battery from China that came with my V325i.,
",1
302,"301,its extremely slow and takes forever to do anything with it.,
",0
303,"302,Works great.,
",1
304,"303,""The loudspeaker option is great, the bumpers with the lights is very ... appealing."",
",1
305,"304,""A week later after I activated it, it suddenly died."",
",0
306,"305,The battery is unreliable as well as the service use antena.,
",1
307,"306,Only had this a month but it's worked flawlessly so far.,
",0
308,"307,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,
",1
309,"308,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,
",1
310,"309,WORST PHONE EVER.,
",1
311,"310,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,
",1
312,"311,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,
",1
313,"312,And the sound quality is great.,
",1
314,"313,This item is fantastic and works perfectly!,
",1
315,"314,""If you hate earbugs, avoid this phone by all means."",
",0
316,"315,I love being able to use one headset for both by land-line and cell.,
",1
317,"316,""I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight."",
",1
318,"317,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,
",0
319,"318,Earbud piece breaks easily.,
",1
320,"319,I am more than happy with this product.,
",1
321,"320,Couldn't figure it out,
",1
322,"321,""Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc)."",
",1
323,"322,The text messaging feature is really tricky to use.,
",1
324,"323,Better Than New.,
",0
325,"324,""* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!"",
",1
326,"325,""Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off."",
",0
327,"326,I love all the features and form factor.,
",1
328,"327,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,
",0
329,"328,Basically the service was very bad.,
",0
330,"329,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,
",1
331,"330,REALLY UGLY.,
",0
332,"331,I could not recommend these more.,
",0
333,"332,""Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape."",
",0
334,"333,So just beware.,
",1
335,"334,""I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck."",
",1
336,"335,I bought this phone as a replacement for my StarTac and have regretted it since.,
",1
337,"336,I have read other's reviews here but I haven't had any problem with it.,
",0
338,"337,Very much disappointed with this company.,
",1
339,"338,Not good enough for the price.,
",1
340,"339,""I also didn't like the """"on"""" button, it felt like it would crack with use."",
",1
341,"340,This PDA rocks.,
",1
342,"341,I have tried these cables with my computer and my iPod and it works just fine.,
",0
343,"342,I especially love the long battery life.,
",1
344,"343,Phone is sturdy as all nokia bar phones are.,
",1
345,"344,""Good , works fine."",
",1
346,"345,VERY DISAPPOINTED.,
",0
347,"346,Not enough volume.,
",1
348,"347,much better than the hard plastic cases.,
",0
349,"348,Piece of Junk.,
",0
350,"349,""Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection."",
",1
351,"350,""Sounds good reasonably priced and effective, Its that simple !"",
",1
352,"351,The best electronics of the available FM Transmitters.,
",1
353,"352,I had to go to a store and bought a new NOKIA phone which is working great.,
",1
354,"353,This phone works great.,
",1
355,"354,Really good product.,
",1
356,"355,Worked perfectly!,
",1
357,"356,Great phone.,
",1
358,"357,I Was Hoping for More.,
",1
359,"358,Bad Reception.,
",1
360,"359,Doesn't do the job.,
",1
361,"360,Soyo technology sucks.,
",0
362,"361,""The tracfonewebsite is user friendly and makes it easy toactivate, etc."",
",1
363,"362,cool phone.,
",1
364,"363,The design is very good.4.,
",1
365,"364,It always cuts out and makes a beep beep beep sound then says signal failed.,
",1
366,"365,don't waste your money.,
",0
367,"366,""Otherwise, easy to install and use, clear sound."",
",1
368,"367,We are sending it back.,
",1
369,"368,A Disappointment.,
",0
370,"369,""All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it."",
",1
371,"370,I'm still infatuated with this phone.,
",1
372,"371,I great reception all the time.,
",1
373,"372,""Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception."",
",1
374,"373,This is a VERY average phone with bad battery life that operates on a weak network.,
",0
375,"374,Does everything it should and more.,
",1
376,"375,Motorola finally got the voice quality of a bluetooth headset right.,
",0
377,"376,""Voice Quality, Signal Strength, Dropped Calls."",
",0
378,"377,The plastic breaks really easy on this clip.,
",1
379,"378,Perfect for the PS3.,
",1
380,"379,""Using all earpieces, left or right, this thing will not stay on my ear."",
",0
381,"380,""Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!"",
",0
382,"381,""If you like a loud buzzing to override all your conversations, then this phone is for you!"",
",1
383,"382,Unreliable - I'm giving up.,
",0
384,"383,Battery is terrible.,
",0
385,"384,I'm very disappointed with my decision.,
",0
386,"385,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,
",0
387,"386,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,
",1
388,"387,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,
",1
389,"388,Someone shouldve invented this sooner.,
",1
390,"389,This is a great phone!.,
",1
391,"390,""I love the camera, it's really pretty good quality."",
",1
392,"391,I plugged it in only to find out not a darn thing worked.,
",0
393,"392,good protection and does not make phone too bulky.,
",1
394,"393,""First off the reception sucks, I have never had more than 2 bars, ever."",
",0
395,"394,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,
",1
396,"395,They made this case too small and is very difficult to install.,
",1
397,"396,Has been working great.,
",0
398,"397,Love this headset!,
",1
399,"398,doesn't last long.,
",1
400,"399,Very prompt service.,
",1
401,"400,#1 It Works - #2 It is Comfortable.,
",1
402,"401,Chinese Forgeries Abound!.,
",1
403,"402,Bad Quality.,
",0
404,"403,""The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently."",
",0
405,"404,Good transmit audio.,
",0
406,"405,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,
",0
407,"406,No real improvement.,
",0
408,"407,Poor quality.,
",0
409,"408,Authentic leather with nice shine and comfort .I recommend you this case !!,
",1
410,"409,I had to purchase a different case.,
",1
411,"410,Poor Reliability.,
",1
412,"411,NOT WHAT I WANTED.,
",1
413,"412,Disappointed with battery.,
",1
414,"413,Poor sound quality.,
",0
415,"414,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,
",0
416,"415,Very disappointing.,
",0
417,"416,Poor product.,
",1
418,"417,Don't buy it.,
",1
419,"418,Lately they have been extremely nice and helpful on the phone.,
",1
420,"419,Happy so far!.,
",1
421,"420,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,
",1
422,"421,Phone now holds charge like it did when it was new.,
",1
423,"422,Echo Problem....Very unsatisfactory,
",0
424,"423,The speaker is of low quality so as making the ring tones sound very cheap.,
",0
425,"424,Makes it easier to keep up with my bluetooth when I'm not wearing it.,
",1
426,"425,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,
",0
427,"426,Doesn't work at all.. I bougth it for my L7c and its not working.,
",0
428,"427,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,
",0
429,"428,One thing I hate is the mode set button at the side.,
",1
430,"429,Works good.,
",1
431,"430,it did not work in my cell phone plug i am very up set with the charger!.,
",1
432,"431,After trying many many handsfree gadgets this is the one that finally works well.,
",1
433,"432,Also its slim enough to fit into my alarm clock docking station without removing the case.,
",1
434,"433,It was horrible!.,
",0
435,"434,IT'S REALLY EASY.,
",1
436,"435,Warning - Stay away.,
",1
437,"436,I wish I could return the unit and get back my money.,
",0
438,"437,""As an earlier review noted, plug in this charger and nothing happens."",
",0
439,"438,It is a joy to use.,
",1
440,"439,VERY comfortable.,
",1
441,"440,worthless product.,
",1
442,"441,I would recommend this.,
",1
443,"442,""I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans."",
",0
444,"443,I bought two of them and neither will charge.,
",0
445,"444,Much less than the jawbone I was going to replace it with.,
",1
446,"445,poor quality and service.,
",0
447,"446,Just does not work.,
",0
448,"447,Best headset ever!!!.,
",0
449,"448,All in all I think it was a good investment.,
",1
450,"449,Blue Ant is easy to use.,
",1
451,"450,DO NOT BUY DO NOT BUYIT SUCKS,
",0
452,"451,""They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried."",
",1
453,"452,""I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better."",
",0
454,"453,""Best of all is the rotating feature, very helpful."",
",1
455,"454,So I bought about 10 of these and saved alot of money.,
",0
456,"455,I'm returning them.,
",0
457,"456,Great Earpiece.,
",1
458,"457,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,
",1
459,"458,New Battery works great in phone.,
",1
460,"459,Fantastic earphones.,
",1
461,"460,Now I know that I made a wise decision.,
",1
462,"461,It is practically useless and did not add any kind of boost to my reception after I bought it.,
",1
463,"462,""Terrible product, and waste of money!"",
",0
464,"463,Better than expected.,
",0
465,"464,Waste of money.,
",0
466,"465,There's a horrible tick sound in the background on all my calls that I have never experienced before.,
",0
467,"466,""The bottowm line...another worthless, cheap gimmick from Sprint."",
",0
468,"467,""Overall, I would recommend this phone over the new Walkman."",
",1
469,"468,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,
",0
470,"469,I love this device.,
",1
471,"470,Works like a charm; it work the same as the one I got with the phone.,
",1
472,"471,""Plus, I seriously do not believe it is worth its steep price point."",
",1
473,"472,""I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while."",
",0
474,"473,""At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr)."",
",1
475,"474,""I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure."",
",1
476,"475,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,
",0
477,"476,Works great!.,
",1
478,"477,Everything about this product is wrong.First,
",1
479,"478,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,
",1
480,"479,Battery life is also great!,
",1
481,"480,The Ngage is still lacking in earbuds.,
",1
482,"481,Worst ever.,
",0
483,"482,Too bad you have to pay up to $$$ a month for the service!,
",0
484,"483,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,
",1
485,"484,Fantastic buy and will get again for whatever my next phone is,
",1
486,"485,Never got it!!!!!,
",1
487,"486,THAT one didn't work either.,
",1
488,"487,It does everything the description said it would.,
",1
489,"488,""Light weight, I hardly notice it is there."",
",1
490,"489,EXCELLENT SERVICE!!!!!!!!.,
",1
491,"490,Any ring tone..Overall good phone to buy..,
",0
492,"491,""It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem."",
",0
493,"492,""Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked."",
",1
